 Date        time  sm   APmag  S-brt   Illu%            delta      deldot
 2014-Dec-03 20:00 *   -11.90   4.12  91.880 0.00254275292498  -0.1342956
 2014-Dec-03 20:15 *   -11.91   4.11  91.958 0.00254189936546  -0.1493348
 2014-Dec-03 20:30 *   -11.91   4.11  92.034 0.00254095738412  -0.1636793
 2014-Dec-03 20:45 *   -11.92   4.11  92.110 0.00253993133248  -0.1772724
 2014-Dec-03 21:00 *   -11.92   4.10  92.184 0.00253882589540  -0.1900601
 2014-Dec-03 21:15 *   -11.93   4.10  92.258 0.00253764607403  -0.2019912
 2014-Dec-03 21:30 *   -11.94   4.10  92.330 0.00253639716772  -0.2130178
 2014-Dec-03 21:45 *   -11.94   4.09  92.401 0.00253508475452  -0.2230952
 2014-Dec-03 22:00 *   -11.95   4.09  92.471 0.00253371467064  -0.2321823
 2014-Dec-03 22:15 *   -11.95   4.09  92.540 0.00253229298883  -0.2402417
 2014-Dec-03 22:30 *   -11.96   4.08  92.607 0.00253082599567  -0.2472396
 2014-Dec-03 22:45 *   -11.96   4.08  92.674 0.00252932016793  -0.2531466
 2014-Dec-03 23:00 *r  -11.97   4.08  92.739 0.00252778214804  -0.2579372
 2014-Dec-03 23:15 *m  -11.97   4.08  92.802 0.00252621871866  -0.2615903
 2014-Dec-03 23:30 *m  -11.98   4.07  92.865 0.00252463677665  -0.2640889
 2014-Dec-03 23:45 *m  -11.98   4.07  92.926 0.00252304330624  -0.2654210
 2014-Dec-04 00:00 *m  -11.99   4.07  92.986 0.00252144535179  -0.2655788
 2014-Dec-04 00:15 *m  -11.99   4.06  93.044 0.00251984998993  -0.2645592
 2014-Dec-04 00:30 Cm  -12.00   4.06  93.101 0.00251826430149  -0.2623639
 2014-Dec-04 00:45 Cm  -12.00   4.06  93.157 0.00251669534309  -0.2589993
 2014-Dec-04 01:00 Nm  -12.01   4.06  93.212 0.00251515011864  -0.2544765
 2014-Dec-04 01:15 Nm  -12.01   4.05  93.265 0.00251363555084  -0.2488114
 2014-Dec-04 01:30 Nm  -12.01   4.05  93.317 0.00251215845273  -0.2420246
 2014-Dec-04 01:45 Am  -12.02   4.05  93.368 0.00251072549951  -0.2341414
 2014-Dec-04 02:00 Am  -12.02   4.05  93.418 0.00250934320075  -0.2251914
 2014-Dec-04 02:15  m  -12.03   4.04  93.466 0.00250801787304  -0.2152090
 2014-Dec-04 02:30  m  -12.03   4.04  93.514 0.00250675561328  -0.2042330
 2014-Dec-04 02:45  m  -12.03   4.04  93.560 0.00250556227274  -0.1923063
 2014-Dec-04 03:00  m  -12.04   4.04  93.605 0.00250444343200  -0.1794758
 2014-Dec-04 03:15  m  -12.04   4.03  93.650 0.00250340437683  -0.1657925
 2014-Dec-04 03:30  m  -12.05   4.03  93.693 0.00250245007539  -0.1513111
 2014-Dec-04 03:45  m  -12.05   4.03  93.736 0.00250158515649  -0.1360897
 2014-Dec-04 04:00  m  -12.05   4.03  93.777 0.00250081388935  -0.1201896
 2014-Dec-04 04:15  m  -12.06   4.03  93.818 0.00250014016482  -0.1036753
 2014-Dec-04 04:30  m  -12.06   4.02  93.859 0.00249956747820  -0.0866137
 2014-Dec-04 04:45  m  -12.06   4.02  93.898 0.00249909891377  -0.0690744
 2014-Dec-04 05:00  m  -12.06   4.02  93.937 0.00249873713112  -0.0511290
 2014-Dec-04 05:15  m  -12.07   4.02  93.976 0.00249848435328  -0.0328510
 2014-Dec-04 05:30  m  -12.07   4.02  94.014 0.00249834235688  -0.0143153
 2014-Dec-04 05:45  m  -12.07   4.01  94.052 0.00249831246423   0.0044022
 2014-Dec-04 06:00  m  -12.07   4.01  94.089 0.00249839553748   0.0232244
 2014-Dec-04 06:15  t  -12.08   4.01  94.127 0.00249859197487   0.0420742
 2014-Dec-04 06:30  m  -12.08   4.01  94.164 0.00249890170903   0.0608741
 2014-Dec-04 06:45  m  -12.08   4.01  94.200 0.00249932420744   0.0795469
